diagnosis,group,snomed_code,snomed_code_name
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",11176009,Acute myopericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",15016005,Pyogenic pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",15555002,Acute pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",15676002,Acute rheumatic fever with pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",17079009,Acute bacterial pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",173574009,Acute benign pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",174511002,Acute fibrinous pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",176401009,Acute bloody pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",17668000,Acute pleuropericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",177291008,Acute effusive pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",194905000,Acute pericarditis caused by human coxsackievirus (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",194906004,Acute meningococcal pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",194907008,Acute syphilitic pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",194908003,Acute tuberculous pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",194909006,Acute pericarditis co-occurrent and due to uremia (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",194910001,Acute gonococcal pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",194916007,Acute pneumococcal pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",194917003,Acute staphylococcal pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",194918008,Acute streptococcal pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",233881003,Acute infective pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",233883000,Bacterial pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",233884006,Q fever pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",233886008,Chronic infective pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",2554006,Acute purulent pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",266235007,Acute idiopathic pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",3589003,Syphilitic pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",40959008,Acute viral pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",41739008,Infectious pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",44595001,Mycotic pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",459184006,Infective constrictive pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",460439008,Pericarditis caused by Genus Haemophilus (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",460440005,Pericarditis with pericardial effusion caused by Mycobacterium tuberculosis complex (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",460450006,Constrictive pericarditis caused by virus (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",460457009,Constrictive pericarditis caused by bacteria (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",460464006,Constrictive pericarditis caused by Mycobacterium tuberculosis complex (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",50902000,Acute pneumopericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",53874003,Acute periendocarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",65447009,Pericarditis due to infectious mononucleosis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",66704002,Meningococcal pericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",67256000,Tuberculosis of pericardium (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",723088005,Periendocarditis due to infection (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",81580000,Acute mediastinopericarditis (disorder)
Acute pericarditis,"Cardiac infection, inflammation and other cardiovascular conditions",90428001,Gonococcal pericarditis (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,10878002,Aneurysm of common carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,1163536005,Mycotic cerebral aneurysm caused by Aspergillus (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,1197364005,Idiopathic spontaneous coronary artery dissection (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,1204127004,Chronic dissection of coronary artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,1204153007,Acute dissection of coronary artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,12237271000119104,Aneurysm of left renal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,12237311000119104,Aneurysm of right renal artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,1285020006,Dissection of radial artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,128608001,Cerebral arterial aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,128609009,Intracranial aneurysm (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,145851000119109,Dissection of thoracic aorta due to trauma (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15648201000119100,Aneurysm of intracranial portion of right internal carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15648241000119104,Aneurysm of intracranial portion of left internal carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15648281000119108,Aneurysm of extracranial portion of right internal carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15648321000119104,Aneurysm of extracranial portion of left internal carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15648361000119108,Aneurysm of right internal carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15648401000119104,Aneurysm of left internal carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15648441000119102,Aneurysm of right common carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15648481000119108,Aneurysm of left common carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15648521000119108,Aneurysm of right carotid artery (disorder)
Aneurysm and dissection of other artery,Aneurysm and dissection of specified arteries,15648561000119102,Aneurysm of left carotid artery (disorder)
